field_1,X,Y,bio1,bio12,bio15,bio7
"4",-12.0208333333334,17.6875,291.995010375977,"143",133.379547119141,265.559997558594
"21",-3.2708333333334,8.2291666666667,261.21166229248,"1072",64.5515823364258,140.559997558594
"26",10.4374999999999,16.3958333333334,269.163341522217,"66",158.462219238281,291.279983520508
"28",32.9374999999999,2.39583333333337,232.320003509521,"1289",54.9499893188477,168.039989471436
"32",23.6874999999999,25.1041666666667,225.443325042725,"3",36.1813621520996,320.040016174316
"41",18.6874999999999,-2.1458333333333,254.438323974609,"1821",38.2130851745605,106.359996795654
"47",-14.9375,13.7708333333334,276.433334350586,"686",136.677124023438,238.400001525879
"54",1.31249999999993,15.3958333333334,295.07999420166,"214",155.593978881836,255.279998779297
"56",14.1458333333332,13.3125,267.434997558594,"268",159.231689453125,249.520015716553
"57",12.5208333333332,-3.0208333333333,237.981662750244,"1574",79.1131973266602,120.200004577637
"61",-3.35416666666674,22.7708333333334,286.098327636719,"11",81.6145706176758,357.519989013672
"62",19.0624999999999,5.81250000000004,251.766662597656,"1405",72.5433044433594,177.479991912842
"64",27.3124999999999,8.8541666666667,272.094993591309,"858",106.042297363281,212.999992370605
"65",11.2708333333332,5.9791666666667,243.159999847412,"1756",77.7924728393555,170.679988861084
"68",30.0624999999999,16.5625,268.194999694824,"87",183.90901184082,285.999984741211
"69",-4.8958333333334,5.14583333333337,262.002773284912,"1483",97.3550186157227,91.5999984741211
"72",20.0208333333332,8.56250000000004,262.961673736572,"1075",98.4784164428711,202.800006866455
"89",-9.81250000000006,25.6458333333334,241.749992370605,"24",71.0669021606445,327.800025939941
"92",-10.6041666666667,24.6875,251.911659240723,"25",85.7617034912109,328.120002746582
"103",0.229166666666593,18.6875,287.391662597656,"95",136.892471313477,294.360008239746
"113",25.8541666666666,9.89583333333337,272.473335266113,"737",116.076667785645,233.840026855469
"115",32.9374999999999,16.7708333333334,290.508327484131,"73",160.566787719727,284.63996887207
"120",-3.81250000000006,20.6041666666667,287.075004577637,"26",105.023651123047,337.120018005371
"121",19.3124999999999,27.5625,210.161666870117,"7",32.5218086242676,292.880001068115
"127",14.4791666666666,21.6875,256.599998474121,"31",78.4454879760742,344.000015258789
"128",-8.14583333333339,10.0208333333334,258.581657409668,"1408",99.5647583007812,228.640003204346
"135",21.6041666666666,2.02083333333337,250.659999847412,"1761",35.7511940002441,126.520004272461
"138",7.52083333333325,10.2708333333334,250.343341827393,"1224",106.88353729248,189.47998046875
"139",24.9791666666666,14.7291666666667,239.4700050354,"209",177.607330322266,287.679996490479
"144",16.1874999999999,20.4791666666667,252.83166885376,"142",105.113876342773,323.79997253418
"147",25.5208333333332,0.312500000000043,245.288333892822,"1752",29.6069374084473,106.159992218018
"158",-12.8958333333334,14.3541666666667,281.358337402344,"768",135.5498046875,227.960014343262
"160",17.8124999999999,6.6041666666667,256.644992828369,"1318",88.2474899291992,213.240013122559
"167",-5.35416666666673,26.8958333333334,259.670009613037,"14",51.4449615478516,393.040008544922
"172",38.3124999999999,14.9791666666667,227.046661376953,"640",132.936065673828,205.44002532959
"175",9.64583333333325,28.4375,217.775001525879,"25",48.8121757507324,364.440002441406
"178",-11.3125000000001,11.2708333333334,254.090003967285,"1384",108.944129943848,225.920028686523
"179",0.854166666666593,29.1458333333334,247.846660614014,"20",36.9274482727051,404.039993286133
"183",10.8124999999999,-0.187499999999957,258.533325195312,"2019",71.5919647216797,109.640007019043
