fid,field_1,X,Y,bio1,bio12,bio15,bio7
"1","2",51.7291666666665,52.4791666666667,48.3899974822998,"483",23.6427192687988,463.880004882812
"2","5",105.0625,49.7708333333334,-11.6816675662994,"349",109.69490814209,539.84001159668
"3","8",86.6041666666665,33.1875,-69.4250011444092,"146",106.616409301758,366.760025024414
"4","10",43.8541666666665,56.0208333333334,36.1866664886475,"568",31.0574626922607,369.720001220703
"5","11",60.8541666666665,41.1458333333334,138.296670913696,"119",58.7790756225586,456.680030822754
"6","20",96.7708333333331,59.0625,-38.0100011825562,"430",43.0489501953125,529.119987487793
"7","22",81.2291666666665,36.4791666666667,109.548330307007,"39",67.3966522216797,440.800018310547
"8","24",69.3124999999998,51.4791666666667,25.4883337020874,"282",36.4449501037598,487.039985656738
"9","30",121.270833333333,53.4375,-44.379997253418,"430",104.790328979492,610.15998840332
"10","31",115.6875,33.4375,150.713329315186,"811",79.5020446777344,357.399978637695
"11","35",103.8125,52.6041666666667,1.60833314061165,"429",87.7227401733398,501.20002746582
"12","39",74.4791666666665,53.1041666666667,25.6233334541321,"308",43.7418823242188,490.359992980957
"13","40",97.1041666666665,56.4375,-12.7916669845581,"440",51.3593254089355,501.559982299805
"14","42",101.729166666666,53.7291666666667,-11.5733349323273,"358",90.0158233642578,510.039978027344
"15","44",58.1874999999998,41.3125,138.473329544067,"102",54.3267669677734,436.599998474121
"16","45",102.0625,47.4375,1.60166680812836,"287",114.331115722656,461.679992675781
"17","46",110.645833333333,55.3125,-82.209997177124,"531",75.7626113891602,482.560005187988
"18","48",75.0624999999998,44.4791666666667,94.6449947357178,"267",35.5681915283203,487.360000610352
"19","49",99.3958333333331,33.6875,-18.4433341026306,"534",91.8952789306641,362.919998168945
"20","53",80.5208333333331,47.8958333333334,35.2433323860168,"325",29.0658016204834,498.279991149902
"21","55",65.3541666666665,30.8541666666667,197.521667480469,"153",108.233543395996,416.040000915527
"22","58",140.1875,51.1041666666667,-31.100001335144,"638",53.0695648193359,484.000015258789
"23","59",62.5624999999998,55.0208333333334,25.2899980545044,"400",52.3290252685547,438.880004882812
"24","60",63.6874999999998,28.5208333333334,245.953330993652,"61",86.2628173828125,384.63996887207
"25","66",53.8541666666665,33.1041666666667,185.944995880127,"96",77.2710800170898,400.799980163574
"26","67",95.1458333333331,61.6041666666667,-67.6749992370605,"537",39.7410583496094,562.080001831055
"27","70",65.1874999999998,29.4375,227.2483253479,"107",97.4328842163086,399.879989624023
"28","75",65.3958333333332,29.9791666666667,220.83833694458,"121",106.995796203613,403.880004882812
"29","104",36.4374999999999,45.1041666666667,116.011114120483,"379",13.0509986877441,292.333335876465
"30","109",59.3958333333332,40.8125,144.23999786377,"100",62.5301399230957,444.000015258789
"31","111",103.104166666666,54.1458333333334,-15.5266666412354,"386",79.8835525512695,517.040023803711
"32","119",104.854166666666,26.8958333333334,113.931665420532,"1039",79.5827865600586,253.479995727539
"33","123",104.104166666666,27.8958333333334,100.535001754761,"907",78.5405807495117,266.959991455078
"34","126",112.229166666666,38.1875,51.3450002670288,"467",111.687210083008,413.959999084473
"35","129",112.729166666666,33.7291666666667,149.44167137146,"746",71.1867828369141,342.880020141602
"36","131",123.395833333333,44.4375,63.5166645050049,"452",118.941665649414,500.480003356934
"37","133",41.5624999999999,59.4791666666667,27.1950006484985,"609",30.3765182495117,379.519996643066
"38","140",67.1458333333332,48.3541666666667,44.171667098999,"200",16.7798252105713,488.519973754883
"39","148",85.3541666666665,63.3958333333334,-54.4516658782959,"573",34.1359367370605,539.560012817383
"40","150",101.645833333333,55.4791666666667,-12.0483326911926,"369",69.2278594970703,502.960014343262
"41","152",38.2291666666665,58.6875,36.7166662216187,"615",30.1190204620361,354.000015258789
"42","156",63.2291666666665,54.6458333333334,21.7216682434082,"377",49.6972122192383,456.839981079102
"43","157",95.1874999999998,49.4791666666667,-54.9766683578491,"247",90.1113815307617,521.960029602051
"44","164",50.4374999999998,51.0625,61.7049980163574,"341",22.1477642059326,462.560043334961
"45","165",61.1874999999998,34.0625,177.348327636719,"213",98.8434143066406,394.000015258789
"46","166",95.5624999999998,38.7708333333334,-21.8883347511292,"131",99.1913986206055,450.960006713867
"47","169",127.5625,56.6041666666667,-96.3633346557617,"610",82.8166809082031,573.680000305176
"48","170",107.5625,63.1041666666667,-86.3916683197021,"334",50.7319183349609,651.439971923828
"49","174",40.6458333333332,56.8958333333334,31.4966678619385,"598",32.8625068664551,386.839981079102
"50","177",94.8541666666665,41.1041666666667,55.3266668319702,"68",89.3918838500977,466.279983520508
"51","180",121.354166666666,56.8958333333334,-70.5700016021729,"482",91.9632110595703,583.080024719238
"52","185",126.354166666666,46.3125,37.5466656684875,"501",114.083198547363,521.319999694824
"53","189",131.395833333333,52.6041666666667,-40.0183343887329,"604",88.5777969360352,630.719985961914
"54","190",96.8541666666665,35.0208333333334,-33.3866667747498,"313",97.8092041015625,386.199989318848
"55","195",78.8958333333331,51.9375,29.3016672134399,"290",46.3954429626465,471.920013427734
"56","196",77.1041666666665,49.1875,13.3233332633972,"325",40.8673706054688,466.959991455078
"57","199",122.0625,56.9375,-77.0550012588501,"508",89.4162521362305,572.680015563965
"58","208",51.3124999999998,64.8958333333334,-18.7249994277954,"585",29.7166862487793,408.759994506836
"59","209",128.395833333333,35.5625,128.726663589478,"1217",81.2987823486328,350.68000793457
"60","215",85.5208333333331,38.9375,114.361667633057,"32",104.877304077148,506.720008850098
"61","217",52.4374999999998,56.7708333333334,26.5733313560486,"541",31.6963024139404,414.039993286133
"62","220",76.8124999999998,45.1458333333334,79.4799995422363,"251",26.9203872680664,527.200012207031
"63","223",60.9374999999998,52.9375,27.4483323097229,"346",43.7936477661133,456.839981079102
"64","225",97.0624999999998,36.3541666666667,49.2133331298828,"106",81.5675201416016,413.720016479492
"65","231",136.895833333333,49.7291666666667,4.12999927997589,"631",75.0960464477539,551.879997253418
"66","236",65.3541666666665,28.0625,237.851657867432,"121",68.3312301635742,379.959983825684
"67","237",56.5208333333332,54.6458333333334,28.4816670417786,"578",30.2402172088623,427.399978637695
"68","251",32.7291666666665,40.0625,93.8933372497559,"444",43.8915367126465,336.879997253418
"69","257",103.354166666666,48.5208333333334,-10.2083337306976,"328",118.129493713379,466.159973144531
"70","258",73.6458333333331,29.7291666666667,255.065002441406,"220",113.821594238281,374.879989624023
"71","259",134.770833333333,52.2291666666667,-41.1933326721191,"674",84.8181991577148,570.960006713867
"72","260",103.3125,52.2291666666667,-2.69499957561493,"541",87.572380065918,465.320014953613
"73","264",71.4374999999998,48.9791666666667,34.4250011444092,"241",22.2891254425049,479.960021972656
"74","272",121.8125,31.0208333333334,162.243328094482,"957",48.3019027709961,293.920001983643
"75","275",124.3125,53.1041666666667,-29.614999294281,"475",99.3183212280273,584.360046386719
"76","289",73.1458333333331,60.1041666666667,-14.6650004386902,"546",44.0013008117676,490.839996337891
"77","293",93.0208333333331,36.4791666666667,-19.8300004005432,"117",107.764358520508,394.039993286133
"78","295",93.6458333333331,34.0625,-25.5866670608521,"339",109.519409179688,378.440017700195
"79","296",107.5625,55.6041666666667,-38.4683346748352,"389",75.8285217285156,548.079986572266
"80","301",38.0624999999999,40.3125,65.9850025177002,"600",44.5326080322266,318.560009002686
"81","302",73.3958333333331,48.1875,33.5533332824707,"233",27.5854244232178,487.200012207031
"82","303",131.645833333333,53.1875,-53.381667137146,"627",87.2936477661133,592.599983215332
"83","307",140.354166666666,50.4791666666667,-18.181666135788,"635",53.5825843811035,465.15998840332
"84","309",128.4375,38.4375,116.730899810791,"1213",78.1169967651367,312.916679382324
"85","315",72.8958333333331,52.9375,26.9799995422363,"306",43.2206153869629,482.200012207031
"86","317",53.7708333333332,43.6875,125.286664962769,"114",35.9802513122559,438.680000305176
"87","319",42.3124999999999,39.6875,43.3716678619385,"567",41.206298828125,390.960006713867
"88","321",129.979166666666,51.5208333333334,-27.2283363342285,"608",90.2114944458008,631.119995117188
"89","324",75.8124999999998,31.3541666666667,233.549995422363,"753",119.500785827637,339.55997467041
"90","326",85.1041666666665,50.7291666666667,-15.5983328819275,"594",56.6570739746094,399.160003662109
"91","328",94.7291666666665,64.5208333333334,-90.6983375549316,"499",43.5143699645996,586.959991455078
"92","329",68.3124999999998,45.3958333333334,88.0633354187012,"138",40.5776481628418,507.160034179688
"93","330",80.9374999999998,56.5625,-0.583333261311054,"449",50.2602272033691,474.47998046875
"94","338",70.3124999999998,62.0625,-25.2816653251648,"537",43.9548835754395,491.679992675781
