field_1,X,Y,bio1,bio12,bio15,bio7
"7",23.1458333333332,-8.2708333333333,228.691673278809,"1508",74.2687835693359,169.799995422363
"9",21.8958333333332,-3.85416666666663,246.606674194336,"1732",45.8780212402344,116.919994354248
"12",47.9374999999999,14.8125,241.243324279785,"104",67.9549789428711,221.640014648438
"14",48.2708333333332,5.1041666666667,268.391666412354,"226",102.089286804199,133.959999084473
"18",39.1041666666665,-3.68749999999996,239.663333892822,"717",50.6587829589844,138.280010223389
"25",24.6041666666666,-16.0625,214.74666595459,"764",115.24195098877,261.879997253418
"26",10.4374999999999,16.3958333333334,269.163341522217,"66",158.462219238281,291.279983520508
"28",32.9374999999999,2.39583333333337,232.320003509521,"1289",54.9499893188477,168.039989471436
"33",17.6458333333332,-23.1041666666666,193.934993743896,"280",108.889419555664,286.759986877441
"41",18.6874999999999,-2.1458333333333,254.438323974609,"1821",38.2130851745605,106.359996795654
"56",14.1458333333332,13.3125,267.434997558594,"268",159.231689453125,249.520015716553
"57",12.5208333333332,-3.0208333333333,237.981662750244,"1574",79.1131973266602,120.200004577637
"62",19.0624999999999,5.81250000000004,251.766662597656,"1405",72.5433044433594,177.479991912842
"64",27.3124999999999,8.8541666666667,272.094993591309,"858",106.042297363281,212.999992370605
"65",11.2708333333332,5.9791666666667,243.159999847412,"1756",77.7924728393555,170.679988861084
"68",30.0624999999999,16.5625,268.194999694824,"87",183.90901184082,285.999984741211
"72",20.0208333333332,8.56250000000004,262.961673736572,"1075",98.4784164428711,202.800006866455
"73",28.8541666666666,-23.8958333333333,197.823333740234,"519",85.6056365966797,256.959991455078
"74",46.1874999999999,19.2708333333334,282.853336334229,"80",134.444305419922,319.23999786377
"79",49.2291666666665,21.8541666666667,285.363330841064,"62",120.328918457031,296.999988555908
"81",19.9374999999999,-20.0208333333333,219.426670074463,"428",108.27172088623,281.879978179932
"83",18.4791666666666,-19.2291666666666,224.361667633057,"480",109.16569519043,265.359992980957
"86",37.7708333333332,-10.0208333333333,228.848342895508,"981",105.975646972656,136.319999694824
"95",13.4791666666666,-5.72916666666663,251.223335266113,"1032",84.4751205444336,145.359992980957
"106",40.1041666666665,10.0625,234.143333435059,"669",77.4970779418945,206.640014648438
"110",48.1458333333332,-20.3125,207.716674804688,"2324",61.0063285827637,154.720001220703
"112",37.3541666666665,2.18750000000004,258.626670837402,"299",99.7866439819336,149.640007019043
"113",25.8541666666666,9.89583333333337,272.473335266113,"737",116.076667785645,233.840026855469
"115",32.9374999999999,16.7708333333334,290.508327484131,"73",160.566787719727,284.63996887207
"117",46.6041666666665,-16.0208333333333,270.696659088135,"1533",119.800003051758,182.959995269775
"132",20.2708333333332,-13.8958333333333,193.82999420166,"1021",104.203666687012,229.680004119873
"134",38.1458333333332,2.89583333333337,262.768325805664,"279",108.337089538574,145.160007476807
"135",21.6041666666666,2.02083333333337,250.659999847412,"1761",35.7511940002441,126.520004272461
"138",7.52083333333325,10.2708333333334,250.343341827393,"1224",106.88353729248,189.47998046875
"139",24.9791666666666,14.7291666666667,239.4700050354,"209",177.607330322266,287.679996490479
