field_1,X,Y,bio1,bio12,bio15,bio7
"2",51.7291666666665,52.4791666666667,48.3899974822998,"483",23.6427192687988,463.880004882812
"4",-12.0208333333334,17.6875,291.995010375977,"143",133.379547119141,265.559997558594
"10",43.8541666666665,56.0208333333334,36.1866664886475,"568",31.0574626922607,369.720001220703
"11",60.8541666666665,41.1458333333334,138.296670913696,"119",58.7790756225586,456.680030822754
"19",12.5624999999999,50.3125,61.9516658782959,"786",23.2740688323975,249.479999542236
"29",27.1041666666666,37.2708333333334,185,"693",94.2133255004883,238.499984741211
"32",23.6874999999999,25.1041666666667,225.443325042725,"3",36.1813621520996,320.040016174316
"34",21.6458333333332,30.3958333333334,204.139995574951,"47",101.679504394531,271.879978179932
"38",-4.97916666666673,42.8541666666667,91.7049980163574,"757",29.7529296875,252.119998931885
"44",58.1874999999998,41.3125,138.473329544067,"102",54.3267669677734,436.599998474121
"55",65.3541666666665,30.8541666666667,197.521667480469,"153",108.233543395996,416.040000915527
"60",63.6874999999998,28.5208333333334,245.953330993652,"61",86.2628173828125,384.63996887207
"61",-3.35416666666674,22.7708333333334,286.098327636719,"11",81.6145706176758,357.519989013672
"63",38.0624999999999,33.9375,172.350006103516,"95",74.6153945922852,341.240005493164
"66",53.8541666666665,33.1041666666667,185.944995880127,"96",77.2710800170898,400.799980163574
"70",65.1874999999998,29.4375,227.2483253479,"107",97.4328842163086,399.879989624023
"75",65.3958333333332,29.9791666666667,220.83833694458,"121",106.995796203613,403.880004882812
"79",49.2291666666665,21.8541666666667,285.363330841064,"62",120.328918457031,296.999988555908
"82",-7.43750000000006,38.3125,163.994998931885,"538",60.2336540222168,254.720001220703
"84",-0.0625000000000711,44.8541666666667,130.086669921875,"908",20.3467121124268,245.7200050354
"89",-9.81250000000006,25.6458333333334,241.749992370605,"24",71.0669021606445,327.800025939941
"92",-10.6041666666667,24.6875,251.911659240723,"25",85.7617034912109,328.120002746582
"104",36.4374999999999,45.1041666666667,116.011114120483,"379",13.0509986877441,292.333335876465
"108",23.4374999999999,28.5625,218.959999084473,"12",56.4076080322266,305.000019073486
"109",59.3958333333332,40.8125,144.23999786377,"100",62.5301399230957,444.000015258789
"120",-3.81250000000006,20.6041666666667,287.075004577637,"26",105.023651123047,337.120018005371
"121",19.3124999999999,27.5625,210.161666870117,"7",32.5218086242676,292.880001068115
"125",51.0208333333332,23.1875,279.478340148926,"65",106.83275604248,296.959991455078
"130",27.6874999999999,29.4375,223.110008239746,"36",85.2802886962891,291.959991455078
"140",67.1458333333332,48.3541666666667,44.171667098999,"200",16.7798252105713,488.519973754883
"143",7.27083333333325,46.4375,52.7683353424072,"1265",12.9433460235596,247.800006866455
"155",3.52083333333326,35.7708333333334,161.455001831055,"313",40.9181327819824,321.920013427734
"164",50.4374999999998,51.0625,61.7049980163574,"341",22.1477642059326,462.560043334961
"165",61.1874999999998,34.0625,177.348327636719,"213",98.8434143066406,394.000015258789
"167",-5.35416666666673,26.8958333333334,259.670009613037,"14",51.4449615478516,393.040008544922
